area,check,status,evidence,detail
"LVS","Custom transistor control primitive Netgen LVS","PASS","reports/control_leaf_library/MANIFEST.json","checked=7, fails=0, details=[]"
"Control","Avalon stdcell control integration","PASS","reports/stdcell_control_integration/MANIFEST.json","matrices=4, avalon_instances=1228, custom_row_select_instances=2304"
"Control","Avalon stdcell control placement","PASS","reports/stdcell_control_placement/MANIFEST.json","macros=4, placed_stdcells=1228, deferred_row_select=2304, max_row_util=0.158"
"Control","Avalon stdcell control GDS merge","PASS","reports/stdcell_control_gds_merge/MANIFEST.json","macros=4, placed_gds_stdcells=1228, footprint_unchanged=True"
"Control","Avalon row-select/WL-buffer stdcell placement","PASS","reports/stdcell_row_select_placement/MANIFEST.json","macros=4, row_selects=2304, placed_stdcells=9216, footprint_unchanged=True"
"Control","Avalon row-select/WL-buffer GDS merge","PASS","reports/stdcell_row_select_gds_merge/MANIFEST.json","macros=4, row_select_gds_stdcells=9216, footprint_unchanged=True"
"Control","Avalon stdcell control/predecode signal routing","PASS","reports/stdcell_control_signal_routing/MANIFEST.json","macros=4, routed_nets=1296, routed_endpoints=12520, row_select_input_nets=288, macro_pin_nets=168"
"Periphery","Column precharge/sense/write-driver GDS integration","PASS","reports/column_periphery_gds_merge/MANIFEST.json","macros=4, column_leaf_instances=320, route_shapes=7318, expanded_wrapper=True"
"Physical","GDS pin/route alignment and stale-shape audit","PASS","verification/results/gf180mcu_3v3_12t_2r2w_sram_pin_route_alignment_gate/MANIFEST.json","checks=16, counts={'PASS': 16}, row_points=13824, column_points=3360, dummy_route_shapes=0, legacy_wl_stubs=0"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Magic final macro DRC","PASS","/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x32/layout/gf180mcu_3v3_12t_2r2w_sram_1024x32.drc.log","manifest_drc=0, parsed_drc=0"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Magic hierarchical LVS extraction","PASS","reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_1024x32/pex/gf180mcu_3v3_12t_2r2w_sram_1024x32.magic_pex.log","lvs_spice_bytes=1884784, stats={'subckt': 2, 'resistors': 0, 'capacitors': 0, 'mos': 0, 'instances': 2240}, extresist=False, magic_log_issues={'bad_device_locations': 0, 'missing_devices': 0, 'extract_node_errors': 0}"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Final abstract pin LVS","PASS","reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_1024x32/pex/gf180mcu_3v3_12t_2r2w_sram_1024x32.current_pdk.spice","ref_pins=175, extracted_pins=175, missing=[], extra=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Full-GDS hierarchical extraction/short audit","PASS","reports/full_gds_lvs_pex_no_rc_all/MANIFEST.json","full-GDS extract PASS, shorts=0, subckts=10, instances=6900, lvs_spice=reports/full_gds_lvs_pex_no_rc_all/gf180mcu_3v3_12t_2r2w_sram_1024x32/gf180mcu_3v3_12t_2r2w_sram_1024x32.full_gds.current_pdk.spice"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","KLayout GF180 density deck","FAIL","reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_1024x32/density/gf180mcu_3v3_12t_2r2w_sram_1024x32.density.lyrdb","returncode=0, violations=1948199, sample_categories=[\"'M1.4'\", \"'M2.4'\", \"'M3.4'\", \"'M5.4'\", \"'MT.3'\", \"'PL.8'\"]"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","KLayout GF180 antenna deck","PASS","reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_1024x32/antenna/gf180mcu_3v3_12t_2r2w_sram_1024x32.antenna.lyrdb","returncode=0, violations=0, sample_categories=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Local EM/IR power strap audit","WARN","/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/macros/gf180mcu_3v3_12t_2r2w_sram_1024x32/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32.pins.json","proxy pass: M5 VSS=40.0um, VDD=24.0um over 1004.0um; 32 column ties. No solver-grade current map."
"gf180mcu_3v3_12t_2r2w_sram_1024x8","Magic final macro DRC","PASS","/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x8/layout/gf180mcu_3v3_12t_2r2w_sram_1024x8.drc.log","manifest_drc=0, parsed_drc=0"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","Magic hierarchical LVS extraction","PASS","reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_1024x8/pex/gf180mcu_3v3_12t_2r2w_sram_1024x8.magic_pex.log","lvs_spice_bytes=487386, stats={'subckt': 2, 'resistors': 0, 'capacitors': 0, 'mos': 0, 'instances': 704}, extresist=False, magic_log_issues={'bad_device_locations': 0, 'missing_devices': 0, 'extract_node_errors': 0}"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","Final abstract pin LVS","PASS","reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_1024x8/pex/gf180mcu_3v3_12t_2r2w_sram_1024x8.current_pdk.spice","ref_pins=79, extracted_pins=79, missing=[], extra=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","Full-GDS hierarchical extraction/short audit","PASS","reports/full_gds_lvs_pex_no_rc_all/MANIFEST.json","full-GDS extract PASS, shorts=0, subckts=10, instances=3188, lvs_spice=reports/full_gds_lvs_pex_no_rc_all/gf180mcu_3v3_12t_2r2w_sram_1024x8/gf180mcu_3v3_12t_2r2w_sram_1024x8.full_gds.current_pdk.spice"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","KLayout GF180 density deck","FAIL","reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_1024x8/density/gf180mcu_3v3_12t_2r2w_sram_1024x8.density.lyrdb","returncode=0, violations=494775, sample_categories=[\"'M1.4'\", \"'M2.4'\", \"'M3.4'\", \"'M5.4'\", \"'MT.3'\", \"'PL.8'\"]"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","KLayout GF180 antenna deck","PASS","reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_1024x8/antenna/gf180mcu_3v3_12t_2r2w_sram_1024x8.antenna.lyrdb","returncode=0, violations=0, sample_categories=[]"
